date,open,high,low,close,volume,change_percent,avg_vol_20d
1985-09-25,111.175,111.175,111.175,111.175,0,,
1985-09-26,110.64,110.64,110.64,110.64,0,-0.48,
1985-09-27,110.64,110.64,110.64,110.64,0,0.0,
1985-09-30,110.62,110.62,110.62,110.62,0,-0.02,
1985-10-01,110.62,112.16,110.565,112.14,153160000,1.37,
1985-10-02,112.14,112.54,110.78,110.825,164640000,-1.17,
1985-10-03,110.84,111.185,110.12,110.87,147300000,0.04,
1985-10-04,110.87,110.87,109.855,110.075,147900000,-0.72,
1985-10-07,110.075,110.135,108.175,108.2,128640000,-1.7,
1985-10-08,108.2,108.27,106.75,107.16,144100000,-0.96,
1985-10-09,107.16,108.99,107.115,108.63,156200000,1.37,
1985-10-10,108.63,109.51,107.81,109.435,154840000,0.74,
1985-10-11,109.435,111.12,109.425,111.05,158220000,1.48,
1985-10-14,111.05,113.27,111.05,113.185,123120000,1.92,
1985-10-15,113.185,113.98,112.79,113.38,171360000,0.17,
1985-10-16,113.38,114.34,113.2,114.315,175120000,0.82,
1985-10-17,114.315,115.34,114.315,114.74,190940000,0.37,
1985-10-18,114.74,114.965,113.83,114.32,180880000,-0.37,
1985-10-21,114.32,114.455,113.65,113.68,142800000,-0.56,
1985-10-22,113.8,114.89,113.425,114.44,157740000,0.67,124848000.0
1985-10-23,114.44,115.525,114.44,115.065,202200000,0.55,134958000.0
1985-10-24,115.065,116.105,115.065,115.485,190860000,0.37,144501000.0
1985-10-25,115.485,115.545,113.74,113.91,165840000,-1.36,152793000.0
1985-10-28,113.91,113.91,113.205,113.82,131460000,-0.08,159366000.0
1985-10-29,113.82,115.735,113.805,115.4,163400000,1.39,159878000.0
1985-10-30,115.4,116.125,115.34,115.77,196040000,0.32,161448000.0
1985-10-31,115.77,116.11,115.155,115.48,169920000,-0.25,162579000.0
1985-11-01,115.48,116.775,115.48,116.275,180180000,0.69,164193000.0
1985-11-04,116.275,117.075,115.825,116.04,150680000,-0.2,165295000.0
1985-11-05,116.04,116.565,115.88,116.44,175360000,0.34,166858000.0
1985-11-06,116.44,117.62,116.44,117.38,187000000,0.81,168398000.0
1985-11-07,117.38,117.965,117.38,117.62,177280000,0.2,169520000.0
1985-11-08,117.62,119.39,117.585,119.26,173520000,1.39,170285000.0
1985-11-11,119.26,120.54,119.18,120.4,160780000,0.96,172168000.0
1985-11-12,120.39,122.01,120.39,121.82,216600000,1.18,174430000.0
1985-11-13,121.82,121.915,120.9,121.165,186420000,-0.54,174995000.0
1985-11-14,121.165,121.915,120.8,121.835,196080000,0.55,175252000.0
1985-11-15,121.835,123.1,121.79,122.175,190540000,0.28,175735000.0
1985-11-18,122.175,122.28,121.73,121.955,164420000,-0.18,176816000.0
1985-11-19,121.955,122.8,121.735,122.57,203600000,0.5,179109000.0
1985-11-20,122.57,122.795,122.2,122.2,195200000,-0.3,178759000.0
1985-11-21,122.2,123.805,122.2,123.61,239800000,1.15,181206000.0
1985-11-22,123.61,124.335,123.445,123.97,208400000,0.29,183334000.0
1985-11-25,123.97,124.165,122.815,123.135,166860000,-0.67,185104000.0
1985-11-26,123.135,124.255,123.09,123.95,187260000,0.66,186297000.0
1985-11-27,123.95,125.875,123.88,125.77,206600000,1.47,186825000.0
1985-11-29,125.77,126.435,125.52,126.06,115180000,0.23,184088000.0
1985-12-02,126.06,126.28,124.855,125.185,171520000,-0.69,183655000.0
1985-12-03,125.185,125.42,124.72,125.23,169080000,0.04,184575000.0
1985-12-04,125.23,128.055,125.17,127.94,234400000,2.16,187527000.0
1985-12-05,128.07,129.89,127.86,128.46,283000000,0.41,192327000.0
1985-12-06,128.46,128.54,126.775,126.955,221600000,-1.17,194543000.0
1985-12-09,126.955,127.645,126.83,127.485,209600000,0.42,196347000.0
1985-12-10,127.485,128.525,127.155,127.975,223600000,0.38,199488000.0
1985-12-11,127.975,129.65,127.975,129.18,253000000,0.94,201308000.0
1985-12-12,129.18,130.1,129.18,129.765,234600000,0.45,203717000.0
1985-12-13,129.765,132.17,129.765,132.125,263400000,1.82,207083000.0
1985-12-16,132.125,133.185,132.06,132.61,230600000,0.37,209086000.0
1985-12-17,132.545,132.73,131.325,131.535,242000000,-0.81,212965000.0
1985-12-18,131.525,131.975,130.715,131.14,275800000,-0.3,216575000.0
1985-12-19,131.14,132.03,130.91,131.925,229800000,0.6,218305000.0
1985-12-20,131.925,132.58,131.695,132.26,231600000,0.25,217895000.0
1985-12-23,132.26,132.26,130.365,130.725,198820000,-1.16,217416000.0
1985-12-24,130.725,130.725,129.305,130.03,128560000,-0.53,215501000.0
1985-12-26,130.03,130.635,129.89,130.345,107800000,0.24,211528000.0
1985-12-27,130.345,131.59,130.25,131.485,149820000,0.87,208689000.0
1985-12-30,131.485,132.13,131.245,131.945,185640000,0.35,212212000.0
1985-12-31,131.945,132.66,131.905,132.295,225400000,0.27,214906000.0
1986-01-02,132.295,132.445,131.065,131.255,151620000,-0.79,214033000.0
1986-01-03,131.255,131.255,130.0,130.55,178360000,-0.54,211231000.0
1986-01-06,130.55,130.7,129.845,130.355,198480000,-0.15,207005000.0
1986-01-07,130.355,132.875,130.33,132.79,255000000,1.87,208675000.0
1986-01-08,132.79,133.885,131.15,131.16,280000000,-1.23,212195000.0
1986-01-09,131.005,131.16,128.055,128.8,238800000,-1.8,212955000.0
1986-01-10,128.8,129.97,128.79,129.565,197000000,0.59,210155000.0
1986-01-13,129.565,129.595,128.63,129.095,178980000,-0.36,207374000.0
1986-01-14,129.095,129.96,128.995,129.18,205800000,0.07,204494000.0
